,"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
173,New Zealand,"2,188",+2,25,,"2,101",62,,437,5,"1,426,787","285,238","5,002,100"
174,Yemen,"2,102",,610,,"1,403",89,23,70,20,"17,404",577,"30,162,135"
175,Liberia,"1,779",,83,,"1,406",290,2,348,16,"39,870","7,789","5,118,445"
176,Sint Maarten,"1,512",,27,,"1,387",98,3,"35,059",626,"10,242","237,485","43,127"
177,Vietnam,"1,509",+4,35,,"1,353",121,,15,0.4,"1,431,631","14,640","97,791,214"
178,Eritrea,"1,445",,3,,740,702,,405,0.8,"23,693","6,634","3,571,698"
179,Mongolia,"1,362",+13,2,,889,471,14,412,0.6,"689,486","208,592","3,305,431"
180,Comoros,"1,050",+55,16,+3,802,232,,"1,194",18,,,"879,086"
181,Sao Tome and Principe,"1,035",+10,17,,988,30,,"4,678",77,"7,498","33,890","221,247"
182,Saint Martin,"1,025",,12,,855,158,7,"26,279",308,"12,433","318,754","39,005"
183,Monaco,978,,3,,773,202,1,"24,831",76,"51,953","1,319,073","39,386"
184,Turks and Caicos,941,,6,,799,136,2,"24,136",154,"12,078","309,796","38,987"
185,Burundi,885,+1,2,,773,110,,73,0.2,"90,019","7,458","12,070,901"
186,Taiwan,822,+3,7,,708,107,,34,0.3,"130,123","5,458","23,839,165"
187,Papua New Guinea,799,,9,,755,35,,88,1.0,"39,761","4,401","9,033,966"
188,Bhutan,767,+12,,,459,308,,988,,"315,958","407,166","775,993"
189,Barbados,743,,7,,327,409,1,"2,584",24,"77,053","267,956","287,558"
190,,,,,,,,,,,,,
191,Diamond Princess,712,,13,,699,0,,,,,,
192,Faeroe Islands,643,+3,1,,584,58,1,"13,133",20,"207,127","4,230,622","48,959"
193,Bermuda,636,+4,11,,531,94,4,"10,232",177,"146,342","2,354,355","62,158"
194,Mauritius,539,,10,,514,15,,423,8,"289,552","227,481","1,272,864"
195,Tanzania,509,,21,,183,305,7,8,0.3,,,"60,600,479"
196,Seychelles,420,+47,1,,229,190,,"4,257",10,"5,200","52,705","98,662"
197,Isle of Man,390,+1,25,,349,16,,"4,574",293,"22,289","261,405","85,266"
198,Cambodia,385,+2,,,362,23,,23,,"341,480","20,280","16,838,123"
199,Saint Lucia,382,,5,,292,85,,"2,075",27,"20,191","109,697","184,062"
200,Cayman Islands,356,,2,,307,47,1,"5,384",30,"61,736","933,696","66,120"
201,Caribbean Netherlands,249,,3,,181,65,,"9,450",114,"4,453","169,001","26,349"
202,St. Barth,206,,1,,172,33,,"20,823",101,"8,518","861,013","9,893"
203,Brunei,173,+1,3,,149,21,,394,7,"83,920","190,882","439,643"
204,Antigua and Barbuda,163,,5,,149,9,1,"1,657",51,"6,752","68,654","98,348"
205,St. Vincent Grenadines,149,,,,100,49,,"1,341",,"21,273","191,437","111,123"
206,Grenada,127,,1,,107,19,,"1,126",9,"6,781","60,119","112,793"
207,Dominica,105,,,,93,12,,"1,457",,"7,844","108,825","72,079"
208,British Virgin Islands,97,,1,,84,12,,"3,198",33,"13,223","435,899","30,335"
209,Fiji,53,,2,,44,7,,59,2,"19,883","22,097","899,806"
210,Timor-Leste,49,,,,40,9,,37,,"17,502","13,146","1,331,326"
211,Macao,46,,,,46,0,,70,,"4,238","6,481","653,894"
212,Laos,41,,,,40,1,,6,,"93,619","12,772","7,329,902"
213,New Caledonia,40,,,,39,1,,139,,"19,305","67,285","286,916"
214,Saint Kitts and Nevis,33,,,,31,2,,618,,"5,593","104,750","53,394"
215,Falkland Islands,29,,,,27,2,,"8,211",,"5,689","1,610,702","3,532"
216,Greenland,28,,,,25,3,,493,,"15,931","280,372","56,821"
217,Vatican City,27,,,,15,12,,"33,666",,,,802
218,Solomon Islands,17,,,,10,7,,24,,"4,500","6,470","695,487"
219,Saint Pierre Miquelon,16,,,,15,1,,"2,769",,"3,246","561,689","5,779"
220,Anguilla,15,,,,13,2,,995,,"5,337","354,100","15,072"
221,Montserrat,13,,1,,12,0,,"2,603",200,626,"125,350","4,994"
222,Western Sahara,10,,1,,8,1,,17,2,,,"604,840"
223,MS Zaandam,9,,2,,7,0,,,,,,
224,Marshall Islands,4,,,,4,0,,67,,,,"59,397"
225,Wallis and Futuna,4,,,,1,3,,359,,"1,149","103,179","11,136"
226,Samoa,2,,,,2,0,,10,,,,"199,097"
227,Vanuatu,1,,,,1,0,,3,,,,"310,814"
